Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
SALES ASSOCIATE PROFESSIONAL,"₱14,000.00",At least high school graduatesWith relevant experience in salesGood communication and interpersonal skillsWilling to be assigned in malls,LSERV CORPORATION,"TAGUIG CITY, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-associate-professional-1056435
ADMINISTRATIVE ASSISTANT,"₱22,000.00",Graduate of any 4 year courseMust have at least 3 years relevant experienceProficient in MS ApplicationsExcellent communication skills both verbal and writtenWilling to work in Mandaluyong,LSERV CORPORATION,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/administrative-assistant-1056434
AUTOMOTIVE MECHANIC,Salary not specified,"Must have at least a Vocational Graduate or equivalentPreferably have an Automotive/Mechanic ExperienceMust have a driver's licenseAbility to work in all weather conditionsAbility to work independentlyWilling to work on weekends, holidays and shifting schedulesCan start ASAP and willing to work in Silang, Cavite, Preferably have an Automotive/Mechanic Experience, Must have a driver's license, Ability to work in all weather conditions, Ability to work independently, Willing to work on weekends, holidays and shifting schedules, Can start ASAP and willing to work in Silang, Cavite","RIVIERA GOLF CLUB, INC.","SILANG, CAVITE","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),VOCATIONAL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/automotive-mechanic-1056433
MOTORCYCLE DRIVER/RIDER,₱610.00,At least high school graduateWith own motorcycleWith professional driver's license - professional or non-professionalKnowledgeable in GPS applications,LSERV CORPORATION,"CITY OF MANILA, NCR, FIRST DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/motorcycle-driver-rider-1056432
MOTORCYCLE DRIVER/RIDER,₱610.00,At least high school graduateWith own motorcycleWith professional driver's license - professional or non-professionalKnowledgeable in GPS applications,LSERV CORPORATION,"CITY OF PASIG, NCR, SECOND DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/motorcycle-driver-rider-1056431
COMPANY DRIVER,"₱14,000.00","At least high school graduateWith updated professional driver's license, restriction 1,2,3Familiarity with different areasCan start ASAP",LSERV CORPORATION,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/company-driver-1056430
MOTORCYCLE DRIVER/RIDER,₱610.00,At least high school graduateWith own motorcycleWith professional driver's license - professional or non-professionalKnowledgeable in GPS applications,LSERV CORPORATION,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/motorcycle-driver-rider-1056429
MOTORCYCLE DRIVER/RIDER,₱610.00,At least high school graduateWith own motorcycle and driver's license - professional or non-professionalKnowledgeable in GPS applications,LSERV CORPORATION,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Contractual,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/motorcycle-driver-rider-1056428
PASTRY CHEF,Salary not specified,"Candidate must possess at least Bachelor’s/College Degree in Culinary or equivalent or NC II holderAt least 2-3 years working experience in baking industryWorking knowledge of baking techniquesHighly analytical and detail-oriented.Ability to work independentlyStrong leadership and communication skills.Willing to work on weekends, holidays and shifting schedulesCan start ASAP and willing to work in Silang, Cavite, At least 2-3 years working experience in baking industry, Working knowledge of baking techniques, Highly analytical and detail-oriented., Ability to work independently, Strong leadership and communication skills., Willing to work on weekends, holidays and shifting schedules, Can start ASAP and willing to work in Silang, Cavite","RIVIERA GOLF CLUB, INC.","SILANG, CAVITE","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/pastry-chef-1056427
WAREHOUSEMAN,Salary not specified,"Qualifications:Must have at least 2 years working experience as a warehouseman in construction.Candidate must possess at least a High School Diploma, Vocational Diploma / Short Course Certificate, Bachelor's/College Degree, any field.Must be customer-oriented, motivated, and hardworking.Applicants must be willing to work in Project Site and willing to relocate anytime.Knowledge of Construction warehousing is an advantage.Can work with minimal supervision., ","DREAM RISER BUILDERS, INC.","CALOOCAN CITY, NCR, THIRD DISTRICT",CONSTRUCTION,10 - 99 (Small),Educ level not specified,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/warehouseman-1056422
AIRCONDITIONING TECHNICIAN,"₱18,000.00","Residing in Metro Manila or nearby areasWith RAC Servicing NCII Certification, DOMRACWith at least 1 to 2 years experience as Aircon TechnicianPunctual and Team Player",ALBEJOR SERVICES AND CONSULTANCY INC.,"CITY OF MANILA, NCR, FIRST DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),VOCATIONAL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/airconditioning-technician-1056419
COMPANY NURSE,Salary not specified,"Graduate of Bachelor’s Degree in NursingMust be a licensed nurse with an updated PRC licensePrior work experience as NurseHighly analytical and detail-orientedAbility to work independentlyWilling to work on weekends, holidays and shifting schedulesStrong leadership skillsComputer literateCan start ASAP and willing to work in Silang, Cavite, Must be a licensed nurse with an updated PRC license, Prior work experience as Nurse, Highly analytical and detail-oriented, Ability to work independently, Willing to work on weekends, holidays and shifting schedules, Strong leadership skills, Computer literate, Can start ASAP and willing to work in Silang, Cavite","RIVIERA GOLF CLUB, INC.","SILANG, CAVITE","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/company-nurse-1056416
GENERAL FOREMAN,Salary not specified,"Job Qualifications:· Must have 5 years of extensive experience in the construction industry.· Knowledgeable in all trade and scope of works in the construction site.· Good leadership skills, time management, trustworthiness.· Proven people management skills including the management of subcontractors.· Experienced in Structure built from ground up, and renovation, and erection of I beams., · Must have 5 years of extensive experience in the construction industry., · Knowledgeable in all trade and scope of works in the construction site., · Good leadership skills, time management, trustworthiness., · Proven people management skills including the management of subcontractors., · Experienced in Structure built from ground up, and renovation, and erection of I beams.","DREAM RISER BUILDERS, INC.","CALOOCAN CITY, NCR, THIRD DISTRICT",CONSTRUCTION,10 - 99 (Small),Educ level not specified,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/general-foreman-1056410
COMPANY NURSE,Salary not specified,Qualification Requirements:Bachelor’s Degree in NursingRegistered NurseBOSH CertificationCertified Occupational Health PractitionerWith 1-year experience as Company Nurse in a high risk environmentAdequate knowledge of current Occupational Health and Safety as well as Labor Rules and Regulations.With knowledge of HRIS and MS OfficeExceptional interpersonal relations skills,ALPHA AVIATION GROUP PHILIPPINES INC.,"ANGELES CITY, PAMPANGA",EDUCATION,200 and over (Large),Educ level not specified,Job type not specified,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/company-nurse-1056401
COMPANY DRIVER,Salary not specified,"Job Requirements:At least College levelBasic knowledge in Word, Excel, & OutlookFamiliar with Metro Manila as well as La Union, Pampanga Roads and DestinationsMinimum of 5 years of experience as a company driverAbility to remain calm and composed in stressful situationsComputer literate, Mechanic or any related field.Acceptable verbal and written communication skillsDrives and possesses a valid driver’s licenseWilling to render an overtime and holiday duty",ALPHA AVIATION GROUP PHILIPPINES INC.,"ANGELES CITY, PAMPANGA",EDUCATION,200 and over (Large),Educ level not specified,Job type not specified,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/company-driver-1056396
MARKETING SPECIALIST,"₱15,000.00","Excellent analytical skillsGood communication and interpersonal skillsAttention to detail for precise analysis of dataCritical thinking and problem-solving skillsAbility to work under pressure and motivation to succeed in a competitive environmentAbility to work with teams and collaborateExcellent leadership and managerial skillsTime management and multitasking skills with the ability to prioritize tasks, Good communication and interpersonal skills, Attention to detail for precise analysis of data, Critical thinking and problem-solving skills, Ability to work under pressure and motivation to succeed in a competitive environment, Ability to work with teams and collaborate, Excellent leadership and managerial skills, Time management and multitasking skills with the ability to prioritize tasks",DELIA AUTO SHINE CORP,"CAINTA, RIZAL","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-specialist-1056392
BUS CONDUCTOR,₱430.00,"Preferably 20-35 years oldMale of FemaleHigh school graduateExperience is not required, , Male of Female, High school graduate, Experience is not required, , , ",SOUTHERN STAR BUS TRANSIT INC.,"TAGBILARAN CITY (CAPITAL), BOHOL","TRANSPORT, STORAGE AND COMMUNICATION",200 and over (Large),4TH YEAR HIGH SCHOOL/GRADE X (FOR K TO 12),Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/bus-conductor-1056383
DELIVERY CHECKER,"₱13,500.00","-male-college level. OR COLLEGE GRADUATE-no violations from previous employer-willing to be assigned anywhere-knows how to drive, w/license code 1,2 & 3-WILLING TO start asap!, -college level. OR COLLEGE GRADUATE, -no violations from previous employer, -willing to be assigned anywhere, -knows how to drive, w/license code 1,2 & 3, -WILLING TO start asap!, ","FUTURE OPTIONS DISTRIBUTION SYSTEM, INC","DAVAO CITY, DAVAO DEL SUR",WHOLESALE AND RETAIL TRADE,200 and over (Large),Educ level not specified,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/delivery-checker-1056351
CREDIT AND COLLECTION CLERK,₱610.00,Computer LiterateHard working and flexibleKeen on details with strong motivation,"ALLIED INTEGRATED SALES AND SERVICES, INC.","CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),COLLEGE GRADUATE,Project-based,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/credit-and-collection-clerk-1056346
TRUCK DRIVER,Salary not specified,"With Prof License 1,2,3,At least High School Graduatewith experience as truck driverWilling to assigned at San Pascual Batangas, At least High School Graduate, with experience as truck driverWilling to assigned at San Pascual Batangas",JV HAULING AND TRUCKING CORPORATION,"SAN PASCUAL, BATANGAS","TRANSPORT, STORAGE AND COMMUNICATION",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/truck-driver-1056304
TRAILER DRIVER,Salary not specified,"With Prof License 1,2,3, 8At least High School Graduatewith experience as truck driverwilling to assigned at San Pascual Batangas, With Prof License 1,2,3, 8, At least High School Graduate, with experience as truck driverwilling to assigned at San Pascual Batangas",JV HAULING AND TRUCKING CORPORATION,"SAN PASCUAL, BATANGAS","TRANSPORT, STORAGE AND COMMUNICATION",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/trailer-driver-1056302
GRAPHIC DESIGNER,"₱18,500.00",Graduate of Information Technology or any related courseWith experience in video editing and photography,"RDF FEED, LIVESTOCK & FOODS, INC.","CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/graphic-designer-1056295
COMPANY NURSE,Salary not specified,Must be a registered nurseComputer literate and can work with less supervisionWilling to work on shifting schedules,"CEBU GENERAL SERVICES, INC.","LAPU-LAPU CITY (OPON), CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/company-nurse-1056294
MARKETING SPECIALIST,"₱18,000.00","•Graduate of BSBA major in Marketing Management•Has at least experience in Marketing•With Professional Driver’s License is an advantage, •Has at least experience in Marketing, •With Professional Driver’s License is an advantage, ","RDF FEED, LIVESTOCK & FOODS, INC.","CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-specialist-1056293
PRODUCTION WORKER,₱500.00,"•At least High School Graduate•Preferably with related experience•Willing to undergo training, •Preferably with related experience, •Willing to undergo training, ","RDF FEED, LIVESTOCK & FOODS, INC.","PORAC, PAMPANGA",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/production-worker-1056292
RETAIL/WHOLESALE ESTABLISHMENT SALESPERSON,Salary not specified,"•With Driver’s License.• Graduate of any 4- years course.• Proficient in Microsoft office.• Highly Organized and Detail Oriented., • Graduate of any 4- years course., • Proficient in Microsoft office., • Highly Organized and Detail Oriented., ",FIRST ASIANMETALS CORPORATION,"DAVAO CITY, DAVAO DEL SUR",WHOLESALE AND RETAIL TRADE,100 - 199 (Medium),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/retail-wholesale-establishment-salesperson-1056289
MARKETING SPECIALIST,"₱16,000.00","Excellent analytical skillsGood communication and interpersonal skillsAttention to detail for precise analysis of dataCritical thinking and problem-solving skillsAbility to work under pressure and motivation to succeed in a competitive environmentAbility to work with teams and collaborateExcellent leadership and managerial skillsTime management and multitasking skills with the ability to prioritize tasks, Good communication and interpersonal skills, Attention to detail for precise analysis of data, Critical thinking and problem-solving skills, Ability to work under pressure and motivation to succeed in a competitive environment, Ability to work with teams and collaborate, Excellent leadership and managerial skills, Time management and multitasking skills with the ability to prioritize tasks",DELIA AUTO SHINE CORP,"CITY OF PARAÑAQUE, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-specialist-1056288
MOTORCYCLE DRIVER/RIDER,₱649.00,"Preferably with knowledgable on Customer ServiceHas good verbal communication skill, ArticulateFlexible in Store Assignment/Location willing to relocate in Cavite, Laguna, Manila, Zambales, Bataan etcFlexible in time of work and broken  time, Has good verbal communication skill, Articulate, Flexible in Store Assignment/Location willing to relocate in Cavite, Laguna, Manila, Zambales, Bataan etc, Flexible in time of work and broken  time, ","RDF FEED, LIVESTOCK & FOODS, INC.","CITY OF MANILA, NCR, FIRST DISTRICT",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/motorcycle-driver-rider-1056287
HUMAN RESOURCE DEVELOPMENT OFFICER,"₱15,000.00","Graduate of BS/AB PsychologyFamiliar with excel and wordWith experience working in a retail company is an advantageHas an idea of all HR facets (Recruitment, employee relations, compensation & benefits, training & development)Willing to be assigned in Pardo, Cebu City","CEBU GENERAL SERVICES, INC.","CEBU CITY (CAPITAL), CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/human-resource-development-officer-1056285
ACCOUNTING ASSISTANT,"₱17,000.00","Graduate of BS Accountancy, FEMALE only. Fresh graduates are welcome to apply.",DELIA AUTO SHINE CORP,"BACOOR, CAVITE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1056284
MARKETING SPECIALIST,"₱16,000.00","College grad, FEMALE, with pleasing personality, must be a marketing graduate or any business course.",DELIA AUTO SHINE CORP,"CITY OF LAS PIÑAS, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/marketing-specialist-1056283
CARPENTER (GENERAL),₱500.00,TO BE DEPLOYED AT ALPHALAND BAGUIO (ITOGON BENGUET),SUPERIOR MAINTENANCE SERVICES INC.,"BAGUIO CITY, BENGUET","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/carpenter-general-1056282
GRAPHIC ARTIST,Salary not specified,"Degree in Graphic Design, Visual Arts, or a related field is preferredAble to prioritize work to balance multiple projects and deadlinesCan work with minimal supervision and can handle pressureWilling to work overtime if neededMust have experience with Corel Draw, Adobe Illustrator, and Adobe PhotoshopPlans, organizes, designs, and develops drafts of print-ready artwork, posters, brochures, newsletters, illustrations, advertisements, banners, and other items.Experience in the promotional industry or related fields is a plusWilling to be assigned in Banilad, Mandaue City","CEBU GENERAL SERVICES, INC.","MANDAUE CITY, CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/graphic-artist-1056280
SENIOR ACCOUNTANT,Salary not specified,"•	A bachelor's degree in finance, accounting, or a related field.•	Licensed or Certified Public Accountant is an asset.•	Three to five years of experience in bookkeeping and accounting.•	Understanding Xero is advantageous.•	Outstanding interpersonal and written communication abilities.•	The capacity to manage multiple activities at once, pay close attention to detail, and be deadline-driven.•	Capacity to manage private data in a proficient manner.•	The capacity to show 	adaptability as priorities shift.•	Capacity to prioritize, organize, and manage workload efficiently., •	Licensed or Certified Public Accountant is an asset., •	Three to five years of experience in bookkeeping and accounting., •	Understanding Xero is advantageous., •	Outstanding interpersonal and written communication abilities., •	The capacity to manage multiple activities at once, pay close attention to detail, and be deadline-driven., •	Capacity to manage private data in a proficient manner., •	The capacity to show 	adaptability as priorities shift., •	Capacity to prioritize, organize, and manage workload efficiently., ",OLIVE AND VINE INC.,"ILOILO CITY (CAPITAL), ILOILO","REAL ESTATE, RENTING AND BUSINESS ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/senior-accountant-1056278
PROCUREMENT ASSISTANT,Salary not specified,"Graduate of any Bachelor's DegreeAbility to negotiate pricesStrong analytical and problem-solving skillsStrong interpersonal and communication skillsKnowledgeable in procurement processes and detail-oriented, , , ","WILLIAM TAN ENTERPRISES, INC.","PUERTO PRINCESA CITY (CAPITAL), PALAWAN","ELECTRICITY, GAS AND WATER SUPPLY",200 and over (Large),COLLEGE GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/procurement-assistant-1056277
FORKLIFT OPERATOR,"₱15,000.00","Must have a valid professional driver's license restriction code 1,2,3,8","CEBU GENERAL SERVICES, INC.","CITY OF NAGA, CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/forklift-operator-1056274
PRODUCTION WORKER,"₱12,000.00",At least ALS/Junior/Senior High graduateWith or without experience are welcome to apply,"CEBU GENERAL SERVICES, INC.","CITY OF NAGA, CEBU","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",100 - 199 (Medium),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/production-worker-1056273
MERCHANDISER,₱520.00,"Preferably with knowledgable on Customer ServiceHas good verbal communication skill, ArticulateFlexible in Store Assignment/Location willing to relocate in Cavite, Laguna, Manila, Zambales, Bataan etcFlexible in time of work and broken  time, Has good verbal communication skill, Articulate, Flexible in Store Assignment/Location willing to relocate in Cavite, Laguna, Manila, Zambales, Bataan etc, Flexible in time of work and broken  time, ","RDF FEED, LIVESTOCK & FOODS, INC.","CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/merchandiser-1056272
CASHIER,₱579.00,"Atleast Highschool GraduatePreferably with knowledgable on Customer ServiceHas good verbal communication skill, ArticulateFlexible in Store Assignment/Location willing to relocate in Cavite, Laguna, Manila, Zambales, Bataan etcFlexible in time of work and broken  time","RDF FEED, LIVESTOCK & FOODS, INC.","CAVITE CITY, CAVITE",MANUFACTURING; AGRICULTURE; WHOLESALE AND RETAIL TRADE; HOTELS AND RESTAURANTS,200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,3 July 2024,https://philjobnet.gov.ph/job-vacancies/job/cashier-1056271
