Title,Release,Cast,Genre,Theme,Languages in Movie,Studio,Country Produced
It's a Wonderful Life,1946,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds, Lillian Randolph, Argentina Brunetti, Robert J. Anderson, Ronnie Ralph, Jeanne Gail, Jeanine Ann Roose, Danny Mummert, Georgie Nokes, Sheldon Leonard, Frank Hagney, Ray Walker, Charles Lane, Edward Keane, Carol Coombs, Karolyn Grimes, Larry Simms, Jimmy Hawkins, Jean Acker, Ernie Adams, Monya Andre, Stanley Andrews, Sam Ash, Jack Bailey, Louise Bates, Mary Bayless, Beth Belden, Brooks Benedict, Joseph E. Bernard, Al Bridge, Buz Buckley, Marian Carr, Adriana Caselotti, Lane Chandler, Michael Chapin, Tom Chatterton, Jack Cheatham, Harry Cheshire, Edward Clark, Tom Coleman, Ellen Corby, Bryn Davis, Lew Davis, Harry Denny, Helen Dickson, Dick Elliott, Tom Fadden, Frank Fenton, Eddie Fetherston, Sam Flint, Lee Frederick, Dick Gordon, Jack Gordon, Herschel Graham, Joseph Granby, Charles Halton, Carl Eric Hansen, Herbert Heywood, Harry Holman, Art Howard, Bert Howard, Arthur Stuart Hull, John Indrisano, Eddie Kane, Carl Kent, Milton Kibbee, Effie Laird, Mike Lally, Harold Landon, Meade 'Lux' Lewis, Jack Lomas, J. Farrell MacDonald, Irene Mack, Wilbur Mack, Charles Meakin, Priscilla Montgomery, Bert Moorhouse, Evelyn Moriarty, Philip Morris, George Noisom, Bob O'Connor, Frank O'Connor, Lynn O'Leary-Jameson, Moroni Olsen, Garry Owen, Netta Packer, Franklin Parker, Suzanne Ridgway, Mark Roberts, Constantine Romanoff, Cy Schindell, Almira Sessions, Cedric Stevens, Brick Sullivan, Charles Sullivan, Carl Switzer, Max Wagner, Larry Wheat, Charles C. Wilson, Jimmy the Crow, Finn Zirzow","Family, Drama, Fantasy","Moving Relationship Stories, Touching Cry Family Sad Tear Jerker, Sad Depressing Illness Heartbreaking Touching, Family Touching Kids Cry Tear Jerker, Christmas Holiday Heartwarming Family Adorable, Romance Captivating Loves Lover Beauty",English,Liberty Films 1,Usa
Rear Window,1954,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport, Jerry Antes, Benny Bartlett, Nick Borgani, Sue Casey, Iphigenie Castiglioni, James Cornell, Don Dunning, Marla English, Bess Flowers, Art Gilmore, Fred Graham, Kathryn Grant, Charles Harvey, Len Hendry, Alfred Hitchcock, Harry Landers, Alan Lee, Mike Mahoney, Jonnie Paris, Eddie Parker, Robert Sherman, Dick Simmons, Ralph Smiley, Jack Stoney, Anthony Warde, Gig Young","Mystery, Thriller","Thrillers And Murder Mysteries, Murderer Clues Suspects Suspense Intriguing, Thriller Cops Suspense Killer Twist, Film Noir Femme Fatale 1940S Thriller Or Intriguing, Thriller Suspense Twist Psychological Intriguing, Charming Witty Delightful Lovely Charm",English,"Paramount 1, Patron Inc",Usa
Psycho,1960,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills, Fletcher Allen, Walter Bacon, Kit Carson, Francis De Sales, George Dockstader, George Eldredge, Harper Flaherty, Sam Flint, Virginia Gregg, Alfred Hitchcock, Paul Jasmin, Lee Kass, Frank Killmond, Ted Knight, Pat McCaffrie, Hans Moebus, Jeanette Nolan, Lillian O'Malley, Robert Osborne, Fred Scheiwiller, Helen Wallace","Mystery, Thriller, Horror","Intense Violence And Sexual Transgression, Horror The Undead And Monster Classics, Thrillers And Murder Mysteries, Thriller Suspense Twist Psychological Intriguing, Killing Slasher Gruesome Gory Bloody, Supernatural Chilling Eerie Terrifying Dread, Eerie Blood Gothic Mysterious Bizarre, Chilling Eerie Terrifying Terror Frighten",English,Shamley Productions,Usa
Metropolis,1927,"Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos, Fritz Rasp, Erwin Biswanger, Heinrich George, Fritz Alberti, Grete Berger, Olly Boeheim, Heinrich Gotho, Gottfried Huppertz, Georg John, Margarete Lanner, Rose Lichtenstein, Hanns Leo Reich, Arthur Reinhardt, Curt Siodmak, Henrietta Siodmak, Olaf Storm, Rolf von Goth, Helen von Münchofen, Helene Weigel","Drama, Science-Fiction","Epic History And Literature, Faith And Religion, Future Action Technology Technological Humanity, Historical Propaganda Political Patriotism Historic, Spiritual Faith Catholic Beliefs Church",No-Spoken-Language,Ufa 1,Germany
Sunset Boulevard,1950,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklyn Farnum, Larry J. Blake, Charles Dayton, Cecil B. DeMille, Hedda Hopper, Buster Keaton, Anna Q. Nilsson, H.B. Warner, Ray Evans, Jay Livingston, Fred Aldrich, Joel Allen, Gertrude Astor, Anne Bauchens, Edward Biby, Danny Borzage, Ken Christy, Ruth Clifford, John Cortay, Archie R. Dalzell, Eddie Dew, Julia Faye, Al Ferguson, Gerry Ganzer, Rudy Germane, Kenneth Gibson, Creighton Hale, Chuck Hamilton, Len Hendry, E. Mason Hopper, Stan Johnson, Tiny Jones, Howard Joslin, Arthur Lane, Perc Launders, William Meader, Gertrude Messinger, Harold Miller, Howard Negley, John ""Skins"" Miller, Lee Miller, Ralph Montgomery, Bert Moorhouse, Jay Morley, Eva Novak, Frank O'Connor, Robert Emmett O'Connor, Jack Perrin, Sidney Skolsky, Emmett Smith, Archie Twitchell, Yvette Vickers, Edward Wahrman, Henry Wilcoxon, Peter Drynan, Sanford E. Greenwald, James Hawley, Alan Marston, Bernice Mosk, Virginia L. Randolph, Bill Sheehan, Roy Thompson, Jack Warden, Finn Zirzow",Drama,"Humanity And The World Around Us, Weird Surreal Dream Bizarre Confusing, Eerie Blood Gothic Mysterious Bizarre",English,Paramount 1,Usa
Man with a Movie Camera,1929,"Mikhail Kaufman, Elizaveta Svilova",Documentary,"Humanity And The World Around Us, Historical Propaganda Political Patriotism Historic, Powerful Complexity Intellectual Poetic Emotional, Documentary Sad Fascinating Emotional Heartbreaking, Politician Assassination Democracy President Compelling",No-Spoken-Language,Vufku All Ukrainian Photo Cinema Administration,Ussr
Tokyo Story,1953,"Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sō Yamamura, Kuniko Miyake, Kyōko Kagawa, Eijirō Tōno, Nobuo Nakamura, Shirō Ōsaka, Hisao Toake, Teruko Nagaoka, Mutsuko Sakura, Toyo Takahashi, Tōru Abe, Sachiko Mitani, Ryōko Mizuki, Keijirō Morozumi, Shozo Suzuki, Haruko Chichibu, Takashi Miki, Toshinosuke Nagao, Zen Murase, Mitsuhiro Môri, Yoshiko Togawa, Fumio Tooyama, Tomoka Hasebe",Drama,"Moving Relationship Stories, Humanity And The World Around Us, Family Moving Heartbreaking Sadness Sad, Sad Depressing Illness Heartbreaking Touching, Family Touching Kids Cry Tear Jerker, Moving Sadness Beauty Tragic Heartbreaking, Touching Cry Family Sad Tear Jerker","Japanese, English, Japanese",Shochiku 2,Japan
Singin' in the Rain,1952,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno, Mae Clarke, Bess Flowers, Robert Foulk, Kathleen Freeman, Joi Lansing, Sylvia Lewis, Harry 'Snub' Pollard, William Schallert, Elaine Stewart, Brick Sullivan, John George, King Donovan, Lana Turner, Allen Sutherland, Dawn Addams, John Albright, Betty Van Allen, Sue Allen, Marie Ardell, Bette Arlen, David Bair, Jimmy Bates, Mary Bayless, Marcella Becker, Margaret Bert, Madge Blake, Lulu Mae Bohrman, Gail Bonney, Chet Brandenburg, Tex Brodus, Barbara Carroll, Gwen Carter, Bill Chatham, Lyle Clark, Dorinda Clifton, Harry Cody, Chick Collins, Pat Conway, Jeanne Coyne, Ruby C. Currie, Fred Datig Jr., Bert Davidson, Robert Dayo, Gloria Dea, Patricia Denise, Harry Denny, Kay Deslys, John Dodsworth, Michael Dugan, Phil Dunham, Helen Eby-Rock, Richard Emory, Betty Erbes, Charles Evans, Tommy Farrell, Ernie Flatt, George Ford, Robert Fortier, Dan Foster, Clair Freeman, Lance Fuller, Doris Fulton, Jeanne Gail, Glen Gallagher, Jon Gardner, Diane Garrett, Jack George, Kenneth Gibson, Mickey Golden, Inez Gorman, A. Cameron Grant, Beatrice Gray, Marion Gray, Robert Haines, William Hamel, Betty Hannon, Sam Harris, Jean Harrison, Timmy Hawkins, Jack Hendricks, Lars Hensen, Jean Heremans, Stuart Holmes, Don Hulbert, Frank Hyers, Patricia Jackson, Ivor James, Morgan Jones, David Kasday, Jan Kayne, Jimmy Kelly, Kenner G. Kemp, Mike Lally, Judy Landon, Janet Lavis, Virginia Lee, Meredith Leeds, William F. Leicester, Peggy Leon, Diki Lerner, Bill Lewin, King Lockwood, Leon Lontoc, Leota Lorraine, Paul Maxey, Dorothy McCarty, Ann McCrea, Philo McCullough, Ray McDonald, Johnny McGovern, Joseph Mell, Carl Milletaire, Gloria Moore, Forbes Murray, Peggy Murray, Anne Neyland, Ruth Packard, Dorothy Patrick, Allen Pinson, Angi O. Poulos, George Reeder, Charles Regan, Shirley Jean Rickert, Joanne Rio, Tony Rocket, Victor Romito, Dennis Ross, Paul Salata, Cosmo Sardo, Phil Schumacher, Betty Scott, David Sharpe, Julius Tannen, Harry Tenbrook, Beverly Thomas, Beverly Thompson, Jimmy Thompson, Dee Turnell, Dorothy Tuttle, Tyra Vaughn, Pat Walker, Tommy Walker, Bobby Watson, Chalky Williams, Robert B. Williams, Wilson Wood, Adam York, Norma Zimmer, Finn Zirzow","Romance, Comedy","Song And Dance, Relationship Comedy, Crude Humor And Satire, Musical Lyrics Broadway Tune Vocals, Comedy Funny Hilarious Broadway Musical, Dancing Choreography Catchy Tune Lyrics, Charming Witty Delightful Lovely Charm, Chemistry Hilarious Romantic Comedy Sweet Or Humorous",English,Metro Goldwyn Mayer 1,Usa
The Apartment,1960,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, David Lewis, Hope Holiday, Joan Shawlee, Naomi Stevens, Johnny Seven, Joyce Jameson, Willard Waterman, David White, Edie Adams, Dorothy Abbott, Ralph Moratz, Joe Palma, Bill Baldwin, Benny Burt, Lynn Cartwright, Mason Curry, David Macklin, Hal Smith, Paul Bradley, Steve Carruthers, Dick Cherney, Franklyn Farnum, Herschel Graham, Lars Hensen, Eugene Jackson, Frances Weintraub Lax, William Meader, Monty O'Grady, Paul Power, Tony Regan, Clark Ross, Norman Stevans, Sid Troy","Drama, Romance, Comedy","Relationship Comedy, Crude Humor And Satire, Charming Witty Delightful Lovely Charm, Chemistry Hilarious Romantic Comedy Sweet Or Humorous, Quirky Humor Relationships Endearing Humorous, Gag Chuckles Slapstick Amusing Jokes, Marriage Romance Affair Passionate Passion",English,"The Mirisch Company, United Artists",Usa
Lawrence of Arabia,1962,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin, Howard Marion-Crawford, Jack Gwillim, Hugh Miller, John Barry, Bruce Beeby, Fred Bennett, John Bennett, Steve Birtles, Robert Bolt, Peter Burton, J.R.M. Chapman, Barbara Cole, Basil Dignam, Peter Dukelow, Mohamed El Habachi, Kenneth Fortescue, Harry Fowler, James Hayter, Jack Hedley, Rafael Hernández, Noel Howlett, Patrick Kavanagh, David Lean, Ian MacNaughton, Clive Morton, Daniel Moynihan, Henry Oscar, George Plimpton, Bryan Pringle, Ernie Rice, Robert Rietti, John Robinson, Norman Rossington, John Ruddock, Fernando Sancho, Stuart Saunders, Cyril Shaps, Jack Sharp, George Spence, Roy Stevens, Graham Tonbridge, Barry Warren","Adventure, War, History","Epic History And Literature, War And Historical Adventure, Fought Army Fighting Heroic Battle, Fought Army Battlefield Conflict Battle, Royalty Sumptuous Lavish Drama Kings, Shakespearean Breathtaking Kings Captivating Tragic, Historical Propaganda Political Patriotism Historic","English, Arabic, English, Portuguese, Turkish",Horizon Pictures,Uk
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili, Paul Tamarin, Laurence Herder, John McCarthy, Gordon Tanner, Burnell Tucker, Victor Harrington","Comedy, War","Crude Humor And Satire, War And Historical Adventure, Politics And Human Rights, Humor Satire Jokes Amusing Humorous, Gag Chuckles Slapstick Amusing Jokes, Destruction Disaster Scientific Mankind Scientist, Politician Assassination Democracy President Compelling, Duty Heroic Battle Pilot Patriotism",English,"Columbia Pictures, Stanley Kubrick Productions, Hawk Films","Uk, Usa"
