Job ID,Job Title,Job Link,Predicted Rating,User ID,evaluation_rating
1293,BUSINESS DEVELOPMENT/MARKETING SPECIALIST,https://philjobnet.gov.ph/job-vacancies/job/business-development-marketing-specialist-1049438,5,30,5
1662,MEDICAL SPECIALIST (GOV),https://philjobnet.gov.ph/job-vacancies/job/medical-specialist-gov-1048007,5,31,5
2441,STATISTICIAN I (GOV),https://philjobnet.gov.ph/job-vacancies/job/statistician-i-gov-1045859,5,32,4
806,BUSINESS DEVELOPMENT/MARKETING ANALYST (GOV),https://philjobnet.gov.ph/job-vacancies/job/business-development-marketing-analyst-gov-1052715,5,33,5
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,34,2
3096,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1044675,5,35,3
274,FINANCIAL ANALYST,https://philjobnet.gov.ph/job-vacancies/job/financial-analyst-1054988,5,36,5
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,37,3
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,38,5
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,39,5
2862,CREDIT ANALYST,https://philjobnet.gov.ph/job-vacancies/job/credit-analyst-1045015,5,40,4
304,WEB DEVELOPER,https://philjobnet.gov.ph/job-vacancies/job/web-developer-1054886,5,41,1
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,42,3
781,TECHNICAL AND COMMERCIAL SALES REPRESENTATIVE,https://philjobnet.gov.ph/job-vacancies/job/technical-and-commercial-sales-representative-1052808,4,43,1
1662,MEDICAL SPECIALIST (GOV),https://philjobnet.gov.ph/job-vacancies/job/medical-specialist-gov-1048007,5,44,4
587,COMPUTER ENGINEER,https://philjobnet.gov.ph/job-vacancies/job/computer-engineer-1053196,5,45,5
1574,MEDICAL OFFICER,https://philjobnet.gov.ph/job-vacancies/job/medical-officer-1048398,5,46,1
304,WEB DEVELOPER,https://philjobnet.gov.ph/job-vacancies/job/web-developer-1054886,5,47,5
3478,DATA ANALYST,https://philjobnet.gov.ph/job-vacancies/job/data-analyst-1043886,5,48,3
116,SALES COORDINATOR,https://philjobnet.gov.ph/job-vacancies/job/sales-coordinator-1055968,5,49,1
71,BUSINESS ANALYST,https://philjobnet.gov.ph/job-vacancies/job/business-analyst-1056153,,50,5
,,,,,3.24
,,,,,3
